lead_id,company_name,company_type,region,product_interest,inquiry_channel,company_size,order_quantity_est,response_time_hrs,quotation_shared,catalog_requested,followups,conversion_status
TM1001,"Rios, Ayers and Sullivan",Hotel Chain,West,Both,Website,Medium,338,37,Yes,Yes,5,0
TM1002,"Barr, Heath and Woodward",Retailer,South,Water Storage,Website,Small,866,51,No,Yes,5,1
TM1003,Castillo-Larson,Online Seller,North,Kitchenware,WhatsApp,Large,627,14,No,No,3,1
TM1004,Ramirez Inc,Hotel Chain,South,Both,Reference,Medium,207,15,No,Yes,5,0
TM1005,Edwards-Waters,Online Seller,South,Kitchenware,WhatsApp,Medium,591,25,Yes,No,3,0
TM1006,Tucker LLC,Retailer,West,Both,Exhibition,Small,153,62,No,Yes,0,0
TM1007,Whitney-Evans,Distributor,West,Water Storage,WhatsApp,Medium,606,2,No,No,5,0
TM1008,King-Cox,Retailer,West,Water Storage,Website,Medium,712,65,No,Yes,5,1
TM1009,Rodriguez-Thomas,Online Seller,East,Both,Website,Small,990,18,No,Yes,3,1
TM1010,Allen-Martin,Online Seller,West,Both,Dealer,Medium,785,69,Yes,Yes,5,1
TM1011,Wilson Inc,Retailer,Central,Water Storage,Dealer,Large,380,10,Yes,Yes,4,1
TM1012,Walters Group,Distributor,Central,Both,Website,Small,345,67,No,Yes,5,0
TM1013,Green Group,Hotel Chain,North,Both,Reference,Small,474,17,No,No,4,0
TM1014,Russell-Davis,Hotel Chain,East,Both,Exhibition,Medium,270,1,Yes,Yes,0,0
TM1015,"Patterson, Pope and Stephens",Retailer,Central,Kitchenware,Exhibition,Medium,42,37,No,Yes,1,1
TM1016,Rodriguez-Garza,Hotel Chain,East,Water Storage,Reference,Medium,394,11,Yes,No,0,0
TM1017,Brown-Clark,Hotel Chain,Central,Kitchenware,Website,Small,784,3,No,No,5,1
TM1018,Williams-Mccoy,Hotel Chain,Central,Water Storage,Website,Small,481,45,Yes,No,1,1
TM1019,"Ochoa, Kramer and Diaz",Retailer,North,Both,Reference,Large,794,3,Yes,Yes,0,0
TM1020,Carey-Smith,Retailer,West,Both,Exhibition,Small,768,6,No,No,1,0
TM1021,Mckay-Williams,Retailer,South,Both,WhatsApp,Small,845,41,No,Yes,2,1
TM1022,"Rivera, Bradshaw and Benjamin",Distributor,West,Water Storage,WhatsApp,Small,580,23,No,No,0,1
TM1023,"Taylor, Burke and Nelson",Hotel Chain,Central,Water Storage,Reference,Medium,162,39,No,Yes,4,0
TM1024,"Horton, Martinez and Bradley",Distributor,East,Both,Website,Medium,946,8,No,No,4,0
TM1025,"Johnson, Fischer and Moran",Hotel Chain,South,Water Storage,Website,Medium,672,11,No,No,0,0
TM1026,Roberts Ltd,Distributor,North,Water Storage,Reference,Large,629,6,Yes,Yes,4,1
TM1027,White-Molina,Distributor,West,Kitchenware,WhatsApp,Medium,989,2,Yes,Yes,5,0
TM1028,Hull Inc,Hotel Chain,South,Both,Dealer,Large,219,51,Yes,No,2,0
TM1029,Anderson and Sons,Online Seller,East,Water Storage,WhatsApp,Large,913,64,No,Yes,5,0
TM1030,"Rasmussen, Graham and Proctor",Online Seller,South,Water Storage,WhatsApp,Medium,56,29,Yes,Yes,2,0
TM1031,Burton PLC,Hotel Chain,East,Kitchenware,Website,Medium,245,49,Yes,No,4,1
