lead_id,company_name,company_type,region,product_interest,inquiry_channel,company_size,order_quantity_est,response_time_hrs,quotation_shared,catalog_requested,followups,conversion_status
TM1001,Madden and Sons,Retailer,North,Both,WhatsApp,Small,238,18,Yes,Yes,4,1
TM1002,Mora-Berry,Retailer,North,Kitchenware,Website,Large,626,4,Yes,No,1,1
TM1003,Mcdonald-Jones,Online Seller,North,Kitchenware,Reference,Medium,294,20,Yes,No,0,1
TM1004,Jones Inc,Retailer,East,Water Storage,Dealer,Medium,836,6,No,Yes,3,1
TM1005,Mitchell-George,Online Seller,Central,Water Storage,Dealer,Small,731,9,Yes,Yes,2,0
TM1006,Henderson PLC,Distributor,North,Water Storage,WhatsApp,Medium,660,47,Yes,No,2,1
TM1007,"Williams, Smith and Green",Online Seller,North,Both,Website,Large,756,32,Yes,No,3,1
TM1008,Martin-Murray,Distributor,East,Kitchenware,Website,Small,834,41,No,No,0,0
TM1009,Haas PLC,Online Seller,South,Both,Reference,Medium,915,59,Yes,No,1,1
TM1010,Smith and Sons,Online Seller,Central,Water Storage,Dealer,Medium,380,29,Yes,No,0,0
TM1011,"Collier, Murray and Herrera",Retailer,South,Both,Website,Large,442,9,No,No,4,0
TM1012,Saunders PLC,Online Seller,Central,Kitchenware,Exhibition,Large,916,69,No,No,0,0
TM1013,"Hill, Pacheco and Garcia",Distributor,West,Kitchenware,WhatsApp,Large,790,23,Yes,No,5,0
TM1014,"Reed, Hudson and Garcia",Distributor,South,Water Storage,Website,Large,986,68,Yes,No,3,1
TM1015,Nelson and Sons,Online Seller,East,Kitchenware,Exhibition,Small,909,11,Yes,No,0,0
TM1016,"Watson, Gardner and Stein",Distributor,South,Both,Reference,Large,179,34,No,Yes,4,0
TM1017,"Gates, Brady and Jones",Distributor,East,Water Storage,WhatsApp,Medium,931,67,No,Yes,1,0
TM1018,Thompson Group,Online Seller,North,Both,Dealer,Small,612,29,Yes,Yes,5,1
TM1019,Lewis LLC,Distributor,North,Kitchenware,WhatsApp,Small,536,31,No,No,1,0
TM1020,Andrews Inc,Hotel Chain,South,Water Storage,Reference,Small,106,13,No,No,3,0
TM1021,Stevenson-Allen,Retailer,North,Kitchenware,Reference,Large,357,14,Yes,Yes,1,1
TM1022,Bartlett Ltd,Distributor,West,Kitchenware,WhatsApp,Medium,265,10,No,Yes,0,0
TM1023,"Wilson, Perez and Mora",Retailer,North,Kitchenware,Website,Medium,507,62,Yes,No,0,1
TM1024,Kane-Hart,Retailer,West,Water Storage,Reference,Medium,443,72,No,Yes,1,1
TM1025,Atkinson-Davis,Retailer,Central,Both,Dealer,Small,775,41,Yes,Yes,4,1
TM1026,Dixon-Franklin,Distributor,North,Both,Exhibition,Small,80,9,Yes,No,0,0
TM1027,Bailey Ltd,Distributor,Central,Both,Exhibition,Large,93,54,No,No,1,0
TM1028,"Martinez, Randall and Taylor",Online Seller,South,Water Storage,Reference,Small,697,39,No,No,0,1
TM1029,"Hickman, Mendez and Rodriguez",Retailer,North,Both,Website,Large,281,17,No,Yes,1,0
TM1030,Thompson LLC,Distributor,West,Both,WhatsApp,Large,836,68,Yes,No,5,1
TM1031,Schneider and Sons,Distributor,East,Kitchenware,Exhibition,Large,576,20,No,No,4,0
TM1032,Klein-Garner,Online Seller,South,Both,WhatsApp,Large,510,33,Yes,Yes,5,1
TM1033,Jackson and Sons,Online Seller,North,Kitchenware,WhatsApp,Small,662,34,Yes,No,4,0
TM1034,Hunter-Burch,Retailer,North,Kitchenware,Website,Large,46,48,Yes,No,1,1
TM1035,Ward-Banks,Online Seller,North,Water Storage,Website,Large,265,14,No,No,4,0
TM1036,Vazquez-Hurst,Distributor,South,Kitchenware,Reference,Small,193,43,No,Yes,2,1
TM1037,Stevens-Wolfe,Retailer,West,Kitchenware,Reference,Small,214,59,No,No,1,0
TM1038,"Lee, Baker and Smith",Distributor,West,Water Storage,WhatsApp,Small,1000,36,No,No,5,0
TM1039,"Villegas, Garcia and Knapp",Online Seller,North,Kitchenware,WhatsApp,Small,604,34,Yes,Yes,4,1
TM1040,Johnson LLC,Online Seller,West,Both,Dealer,Small,404,25,No,Yes,5,1
TM1041,"Moore, Wallace and Bowers",Distributor,East,Water Storage,Exhibition,Large,952,43,No,Yes,5,0
TM1042,"Vincent, Jacobs and Smith",Online Seller,West,Water Storage,Reference,Large,312,71,Yes,Yes,3,1
TM1043,"Brown, Carlson and Rivera",Hotel Chain,South,Both,Dealer,Medium,425,71,Yes,No,2,1
TM1044,Ramirez Ltd,Online Seller,West,Water Storage,Reference,Large,228,66,No,Yes,5,1
TM1045,Velazquez-Serrano,Online Seller,North,Kitchenware,WhatsApp,Small,835,26,Yes,Yes,0,1
TM1046,Carpenter-Harris,Hotel Chain,Central,Kitchenware,Reference,Medium,917,25,No,No,3,1
TM1047,Hughes Group,Retailer,North,Water Storage,Website,Small,833,67,No,Yes,4,1
TM1048,"Hall, Russo and Morrow",Retailer,West,Kitchenware,Reference,Large,553,72,No,No,4,0
TM1049,Kim LLC,Hotel Chain,Central,Water Storage,Website,Large,892,61,No,No,1,0
TM1050,"Lawrence, Wood and Nichols",Online Seller,Central,Water Storage,Website,Medium,460,10,No,Yes,2,1
TM1051,Holder-Brooks,Retailer,South,Kitchenware,Website,Medium,720,20,Yes,Yes,3,1
TM1052,Johnson-Long,Hotel Chain,West,Kitchenware,Website,Medium,408,3,No,No,0,0
